Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.9,768583357,47,16352837.4,10069838.0,4730,145793114,27179694.4,poll
23.8,244070587,671,363741.6,29130.0,1440,38528817,1709365.0,ioctl
0.6,6283754,31,202701.7,21280.0,11770,4738653,844226.1,mmap64
0.3,2603470,26,100133.5,19345.5,5250,480269,163615.5,mmap
0.1,1187133,10,118713.3,44586.0,30900,779785,232556.6,sem_timedwait
0.1,617570,56,11028.0,10060.0,7360,23240,3284.8,open64
0.1,580738,35,16592.5,11100.0,4010,54651,12706.5,fopen
0.0,477790,2,238895.0,238895.0,223045,254745,22415.3,pthread_create
0.0,407552,28,14555.4,15345.0,2600,30921,6629.6,fclose
0.0,166123,1,166123.0,166123.0,166123,166123,0.0,pthread_cond_wait
0.0,113123,1,113123.0,113123.0,113123,113123,0.0,fgets
0.0,84980,6,14163.3,12225.0,4700,26480,7557.1,open
0.0,76382,5,15276.4,15660.0,13080,16611,1464.3,munmap
0.0,55743,15,3716.2,3410.0,1020,8621,2594.3,close
0.0,42301,12,3525.1,3400.0,1640,6440,1550.4,write
0.0,39952,15,2663.5,1960.0,1510,6600,1425.7,read
0.0,38772,2,19386.0,19386.0,13821,24951,7870.1,socket
0.0,38321,3,12773.7,13630.0,10041,14650,2420.9,pipe2
0.0,32190,1,32190.0,32190.0,32190,32190,0.0,connect
0.0,12601,8,1575.1,1735.0,1020,1961,369.4,fcntl
0.0,4540,2,2270.0,2270.0,2270,2270,0.0,fwrite
0.0,3650,1,3650.0,3650.0,3650,3650,0.0,pthread_cond_broadcast
0.0,2790,1,2790.0,2790.0,2790,2790,0.0,bind
0.0,1870,1,1870.0,1870.0,1870,1870,0.0,listen
